ZoneName,AlteredFormCustomizeOffset0,AlteredFormCustomizeOffset1,AlteredFormCustomizeOffset2,ChrModel_9_0_1_35522_001Override0,ChrModel_9_0_1_35522_001Override1,ChrModel_9_0_1_35522_001Override2,ChrModel_9_0_1_35522_001Override_Female0,ChrModel_9_0_1_35522_001Override_Female1,ChrModel_9_0_1_35522_001Override_Female2,ChrClassesId,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs
"Northshire Valley","0","0","0","0","0","0","0","0","0","8","12427","0","0","0","0","0","0","0","0","0"
"Northshire Valley","0","0","0","0","0","0","0","0","0","9","12427","0","0","0","0","0","0","0","0","0"
"Shadowglen","0","0","0","0","0","0","0","0","0","3","12433","0","0","0","0","133508","0","0","0","0"
"Red Cloud Mesa","0","0","0","0","0","0","0","0","0","3","12436","0","0","0","0","133570","0","0","0","0"
"Red Cloud Mesa","0","0","0","0","0","0","0","0","0","7","12436","0","0","0","0","0","132530","0","0","0"
"Ammen Vale","0","0","0","0","0","0","0","0","0","1","12417","0","0","0","0","0","0","0","0","0"
"Ammen Vale","0","0","0","0","0","0","0","0","0","3","12417","131761","132614","0","0","133584","0","0","0","0"
"Sunstrider Isle","0","0","0","0","0","0","0","0","0","5","12422","0","0","0","0","0","134410","0","0","0"
"Sunstrider Isle","0","0","0","0","0","0","0","0","0","4","12422","0","133196","0","0","0","0","0","0","0"
"Sunstrider Isle","0","0","0","0","0","0","0","0","0","8","12422","0","0","134112","0","0","0","0","0","0"
"Sunstrider Isle","0","0","0","0","0","0","0","0","0","9","12422","0","0","0","0","0","0","0","0","0"
"Ammen Vale","0","0","0","0","0","0","0","0","0","2","12417","0","0","0","0","0","0","0","0","0"
"Sunstrider Isle","0","0","0","0","0","0","0","0","0","2","12422","135104","135107","128833","132580","0","0","0","0","0"
"Ammen Vale","0","0","0","0","0","0","0","0","0","5","12417","0","0","0","0","0","0","0","0","0"
"Ammen Vale","0","0","0","0","0","0","0","0","0","7","12417","0","0","0","0","0","132521","0","0","0"
"Echo Isles","0","0","0","0","0","0","0","0","0","7","12437","0","0","0","0","0","132520","0","0","0"
"Deathknell","0","0","0","0","0","0","0","0","0","4","12438","0","133196","0","0","0","0","0","0","0"
"Shadowglen","0","0","0","0","0","0","0","0","0","1","12433","0","0","0","0","0","0","0","0","0"
"Valley of Trials","0","0","0","0","0","0","0","0","0","9","12434","0","0","0","0","0","0","0","0","0"
"Valley of Trials","0","0","0","0","0","0","0","0","0","3","12434","0","0","0","0","133516","0","0","0","0"
"Ammen Vale","0","0","0","0","0","0","0","0","0","8","12417","0","0","0","0","0","0","0","0","0"
