Id,SourceText,ItemId,Flags,SourceTypeEnum
"1","|cFFFFD200Drop: |rWorld Drop","1973","0","0"
"4","|cFFFFD200Black Market Auction House|r","32566","0","2"
"5","|cFFFFD200Black Market Auction House|r","33223","0","2"
"7","|cFFFFD200Black Market Auction House|r","38578","0","2"
"9","|cFFFFD200Holiday: |rLove is in the Air|n|cFFFFD200Vendor: |rLovely Merchant|n|cFFFFD200Zone: |rCapital Cities|n|cFFFFD200Cost: |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n","34480","0","6"
"12","|cFFFFD200Promotion|r","67097","0","7"
"16","|cFFFFD200Vendor: |rTex Vortacoil|n|cFFFFD200Zone: |rAzshara|n|cFFFFD200Cost: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","68806","0","2"
"17","|cFFFFD200Vendor: |rAyla Shadowstorm|n|cFFFFD200Zone: |rMolten Front|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","70161","0","2"
"18","|cFFFFD200World Event:|r Hallow's End|n|cFFFFD200Vendor: |rChub / Dorothy|n|cFFFFD200Zone: |rTirisfal Glades / Stormwind City|n|cFFFFD200Cost: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n","70722","0","6"
"19","|cFFFFD200Promotion|r","72161","0","7"
"20","|cFFFFD200Drop: |rPandaria","72231","2","0"
"21","|cFFFFD200Drop: |rYorik Sharpeye|n|cFFFFD200Zone: |rVale of Eternal Blossoms","86568","0","0"
"22","|cFFFFD200Drop: |rKang the Soul Thief|n|cFFFFD200Zone: |rVale of Eternal Blossoms","86571","0","0"
"23","|cFFFFD200Drop: |rHavak|n|cFFFFD200Zone: |rKun-Lai Summit","72221","2","0"
"24","|cFFFFD200Drop: |rUrgolax|n|cFFFFD200Zone: |rVale of Eternal Blossoms","86575","0","0"
"25","|cFFFFD200Drop: |rSki'thik|n|cFFFFD200Zone: |rKun-Lai Summit","72225","2","0"
"29","|cFFFFD200Quest: |rElune's Blessing|n|cFFFFD200Zone: |rMoonglade","21540","0","1"
"30","","33079","2","7"
"33","|cFFFFD200Profession: |rArchaeology","64651","0","3"
"34","|cFFFFD200Vendor: |rOlut Alegut, Rork Sharpchin|n|cFFFFD200Zone: |rThe Storm Peaks|n|cFFFFD200Cost: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t","43499","0","2"
"99","|cFFFFD200Drop: |rTerokk|n|cFFFFD200Zone: |rTerokkar Forest","32782","0","0"
"100","|cFFFFD200Black Market Auction House|r","34499","0","2"
"101","|cFFFFD200Drop: |rNorthrend - World Drop","37254","0","0"
"102","|cFFFFD200Promotion|r","38301","0","7"
"103","|cFFFFD200Achievement: |rThe Coin Master|n|cFFFFD200Category: |rFishing","44430","0","5"
"109","|cFFFFD200World Event:|r Feast of Winter Veil","46709","0","6"
"110","|cFFFFD200Promotion|r","49703","0","7"
"111","|cFFFFD200Promotion|r","49704","2","7"
"112","|cFFFFD200Quest: |rMuradin's Lament|n|cFFFFD200Zone: |rIcecrown Citadel","52201","0","1"
"114","|cFFFFD200Quest: |rSylvanas' Vengeance|n|cFFFFD200Zone: |rIcecrown Citadel","52253","0","1"
"116","|cFFFFD200Profession: |rArchaeology","64358","0","3"
"117","|cFFFFD200Profession: |rArchaeology","64361","0","3"
"118","|cFFFFD200Profession: |rArchaeology","64373","0","3"
"119","|cFFFFD200Profession: |rArchaeology","64383","0","3"
"120","|cFFFFD200Profession: |rArchaeology","64456","0","3"
"121","|cFFFFD200Profession: |rArchaeology","64481","0","3"
"122","|cFFFFD200Profession: |rArchaeology","64482","0","3"
"123","|cFFFFD200Profession: |rArchaeology","64646","0","3"
"124","|cFFFFD200Profession: |rArchaeology","64881","0","3"
"125","|cFFFFD200Vendor: |rMeilosh|n|cFFFFD200Zone: |rFelwood|n|cFFFFD200Faction: |rTimbermaw Hold - Exalted|n|cFFFFD200Cost: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","66888","4","2"
"126","|cFFFFD200World Event: |rChildren's Week|n|cFFFFD200Vendor: |rBlax Bottlerocket / Craggle Wobbletop|n|cFFFFD200Zone: |rOrgrimmar / Stormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","69895","0","2"
"127","|cFFFFD200Promotion|r","72159","0","7"
"128","|cFFFFD200Promotion|r","79769","0","7"
"129","|cFFFFD200Drop: |rZai the Outcast|n|cFFFFD200Zone: |rKun-Lai Summit","86581","0","0"
"131","|cFFFFD200Drop: |rNessos the Oracle|n|cFFFFD200Zone: |rKun-Lai Summit","72224","2","0"
