Id,Name,GameType,ShortDescription,LongDescription,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataId,RequiredPlayerConditionId,MapId0,MapId1,MapId2,MapId3,MapId4,MapId5,MapId6,MapId7,MapId8,MapId9,MapId10,MapId11,MapId12,MapId13,MapId14,MapId15
"1","Alterac Valley","Epic Battleground","","","3","20","120","25","10","40","1","5","1941","24","136324","0","30","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"2","Classic Warsong Gulch","Capture the Flag","","","3","10","120","10","5","10","1","5","1942","0","136365","0","489","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"3","Classic Arathi Basin","Domination","","","3","10","120","10","8","15","1","5","1943","0","136322","0","529","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"4","Nagrand Arena (old)","","","","4","0","0","5","0","5","1","5","0","5","460867","5793","559","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"5","zzOldBlade's Edge Arena","","","","4","0","0","5","0","5","1","5","0","5","460861","0","562","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"6","All Arenas","","","","4","15","120","5","0","5","1","3","0","8","525915","0","1672","1911","1504","1505","572","617","980","1134","1552","1170","1825","2167","65535","65535","65535","65535"
"7","Eye of the Storm","Domination","","","3","15","120","15","8","15","1","5","2851","24","525912","0","566","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"8","Ruins of Lordaeron","","","","4","10","120","5","0","5","1","5","0","8","460869","0","572","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"9","Strand of the Ancients","Siege","","","3","50","120","15","8","15","1","5","3695","1","460870","0","607","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"10","Dalaran Sewers","","","","4","10","120","5","0","5","1","5","0","8","460862","0","617","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"11","The Ring of Valor","","","","4","10","100","5","0","5","1","5","0","0","460868","0","618","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"30","Isle of Conquest","Epic Battleground","","","3","20","120","25","10","40","1","5","4273","24","311222","0","628","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"32","Random Battleground","","","","3","10","120","25","5","40","1","5","0","0","525915","0","2107","2106","566","1803","761","726","727","998","2245","65535","65535","65535","65535","65535","65535","65535"
