Id,Title,GarrTypeId,ClassId,MaxTiers,UiOrder,Flags,UiTextureKitId,GarrTalentTreeType,ConditionId,FeatureType,FeatureSubtype
"4","","3","10","7","0","0","0","0","0","0","0"
"31","","3","7","7","0","0","0","0","0","0","0"
"107","","3","11","7","0","0","0","0","0","0","0"
"110","","3","9","7","0","0","0","0","0","0","0"
"113","","3","3","7","0","0","0","0","0","0","0"
"116","","3","8","7","0","0","0","0","0","0","0"
"119","","3","2","7","0","0","0","0","0","0","0"
"122","","3","1","7","0","0","0","0","0","0","0"
"125","","3","12","7","0","0","0","0","0","0","0"
"128","","3","6","7","0","0","0","0","0","0","0"
"131","","3","4","7","0","0","0","0","0","0","0"
"134","","3","5","7","0","0","0","0","0","0","0"
"150","","111","0","8","0","0","0","1","0","0","0"
"151","","3","0","7","0","0","253","0","0","0","0"
"152","War Research","9","0","6","0","1","0","0","0","0","0"
"153","War Research","9","0","6","0","1","0","0","0","0","0"
"260","Visions Research [NYI]","9","0","6","0","0","253","0","0","0","0"
"263","MOTHER's Research - Solo","9","0","4","0","0","253","0","0","0","0"
"264","MOTHER's Research - Group","9","0","4","0","0","253","0","0","0","0"
"265","MOTHER's Research - Gambler","9","0","2","0","0","253","0","0","0","0"
"266","MOTHER's Research - Speedrunner","9","0","2","0","0","253","0","0","0","0"
"267","MOTHER's Research - Explorer","9","0","3","0","0","253","0","0","0","0"
"268","MOTHER's Research - Milestones","9","0","2","0","0","253","1","0","0","0"
"271","MOTHER's Research","9","0","6","0","0","5273","1","0","0","0"
"272","Nadjia the Mistblade","111","0","5","0","0","253","1","0","6","0"
"275","Dreamweaver","111","0","8","0","0","0","0","79281","6","0"
"276","Niya","111","0","8","0","0","0","0","79279","6","0"
"304","General Draven","111","0","8","0","0","0","0","79288","6","0"
"307","Transport Network","111","0","3","0","0","0","0","0","2","4"
"308","Transport Network","111","0","3","0","0","5283","0","0","2","1"
"309","Transport Network","111","0","3","0","0","0","0","0","2","2"
"310","Transport Network","111","0","3","0","0","0","0","0","2","3"
"311","Anima Conductor","111","0","3","0","0","0","0","0","1","4"
"312","Anima Conductor","111","0","3","0","0","5283","0","0","1","1"
"313","Anima Conductor","111","0","3","0","0","0","0","0","1","3"
"314","Anima Conductor","111","0","3","0","0","0","0","0","1","2"
"315","Adventures Upgrades","111","0","3","0","0","0","0","0","3","4"
"316","Adventures Upgrades","111","0","3","0","0","5283","0","0","3","1"
"317","Adventures Upgrades","111","0","3","0","0","0","0","0","3","2"
"318","Adventures Upgrades","111","0","3","0","0","0","0","0","3","3"
"319","The Queen's Conservatory","111","0","5","0","0","0","0","0","5","4"
"320","Path of Ascension","111","0","5","0","0","5283","0","0","5","1"
"321","Abomination Factory","111","0","5","0","0","0","0","0","5","3"
"324","The Ember Court","111","0","5","0","0","0","1","0","5","2"
"325","Plague Deviser Marileth","111","0","8","0","0","0","0","79284","6","0"
"326","Revendreth - Resevoir Upgrades","111","0","3","0","0","5285","0","0","4","2"
"327","Bastion - Resevoir Upgrades","111","0","3","0","0","5283","0","0","4","1"
"328","Ardenweald - Resevoir Upgrades","111","0","3","0","0","5305","0","0","4","4"
"329","Maldraxxus- Resevoir Upgrades","111","0","3","0","0","5287","0","0","4","3"
"330","Emeni","111","0","8","0","0","0","0","79285","6","0"
"334","Korayn","111","0","8","0","0","0","0","79283","6","0"
"335","Chris Test Tree Set","3","0","2","0","0","0","0","0","0","0"
"345","Channel Anima","111","0","1","0","2","5283","1","0","7","1"
"346","Channel Anima","111","0","1","0","2","5305","1","0","7","4"
"347","Channel Anima","111","0","1","0","2","5287","1","0","7","3"
"348","Channel Anima","111","0","1","0","2","5285","1","0","7","2"
"349","Bonesmith Heirmir","111","0","8","0","0","0","0","81502","6","0"
"357","Pelagos","111","0","8","0","0","0","0","81504","6","0"
"360","Kleia","111","0","8","0","0","0","0","81505","6","0"
"365","Mikanikos","111","0","8","0","0","0","0","81506","6","0"
"368","Nadjia the Mistblade","111","0","8","0","0","0","0","81503","6","0"
"392","Theotar the Mad Duke","111","0","8","0","0","0","0","83261","6","0"
"393","Bastion - Covenant Abilities","111","0","2","0","0","5283","1","0","0","1"
"395","Maldraxxus - Covenant Abilities","111","0","2","0","0","5287","1","0","0","3"
"396","Revendreth - Covenant Abilities","111","0","2","0","0","5279","1","0","0","2"
"397","Ardenweald - Covenant Abilities","111","0","2","0","0","5301","1","0","0","4"
